palavra,contagem
de,1069
Brumadinho,1066
em,777
da,507
a,315
Vale,247
que,243
e,224
barragem,188
do,173
para,168
o,157
na,154
Tragédia,148
tragédia,138
-,121
Brumadinho:,120
A,113
rompimento,106
com,103
por,102
após,85
é,76
um,74
corpo,71
CPI,70
Minas,67
mais,64
lama,64
vítima,63
|,61
dos,60
se,59
Bombeiros,58
foram,57
apresenta,54
O,53
vítimas,52
no,51
sobre,50
Gerais,49
pela,49
(MG),49
Câmara,46
não,45
os,45
Barragem,42
ajudar,40
Deputados,39
dados,39
Um,39
Engenharia,38
meses,38
denúncia,38
#brumadinho,37
ir,37
livro,37
técnicos,37
convidados,37
‘Brumadinho:,37
Berlim,37
documentos,37
» ,37
Membros,37
buscas,37
Crime’,37
Podcast,37
apresentação,37
encontram,35
Brasil,35
das,35
desastre,34
Mariana,33
diz,32
Civil,31
Polícia,31
bombeiros,30
uma,29
dia,28
pelo,28
ao,28
vai,28
Corpo,28
anos,27
corpos,27
oito,27
como,26
as,25
barragens,24
Veja,24
cidade,23
mostra,23
desde,22
Mais,22
desaparecidos,22
pelos,22
BBC,21
identifica,21
problemas,21
identificado,21
rejeitos,20
mortos,20
Estado,19
funcionários,19
pessoas,19
mostram,19
são,19
2019,19
momento,19
R$,18
construção,18
brumadinho,18
#tragediabrumadinho,18
the,17
foi,17
Brumadinho.,17
of,17
tem,17
entre,17
onde,17
Documento,17
mina,16
News,16
MG,16
Imagens,16
inteiro,16
presos,16
Tragedia,16
era,15
quase,15
1,15
Justiça,15
250ª,15
sem,15
deixa,14
251ª,14
alerta,14
Notícias,14
mineração,14
rompe,14
Feijão,14
Os,14
As,14
está,14
irão,14
rompeu,13
lançar,13
dois,13
às,13
depois,13
dengue,13
mosquito,13
248º,13
ROMPIMENTO,13
BARRAGEM,13
todos,13
Córrego,13
larvicidas,13
pagar,13
área,13
dam,13
medidas,13
Drones,13
focos,13
acordo,12
à,12
encontrado,12
encontrada,12
Em,12
busca,12
cães,12
famílias,12
–,12
menos,11
Moradores,11
BRUMADINHO,11
indiciamento,11
moradores,11
cinco,11
invade,11
aéreas,11
Atingidos,11
já,11
—,11
identificadas,10
in,10
antes,10
Comissão,10
pede,10
TEMPO,10
Estadão,10
Leia,10
EM,10
ser,10
TV,10
Rádio,10
links,10
atingidos,10
©,10
G1,9
histórias,9
reparação,9
informações,9
Termos,9
veja,9
anuncie,9
crime,9
intacto,9
hoje,9
achado,9
ter,9
dias,9
rotina,9
ponte,9
mineradora,9
teve,9
quem,9
atingidas,9
mese...,9
localizado,9
·,9
pode,9
Ministério,8
reparar,8
[empresa,8
terá,8
segurança,8
outros,8
até,8
complexa,8
familiares,8
Análise,8
DNA,8
Marian...,8
Assembleia,8
população,8
nos,8
(foto:,8
that,8
DE,8
De,8
resgate,8
segmentos,8
sabemos,8
acesso,8
salário,8
The,8
atingida,8
perfis,8
corporais,8
tragédias,8
imóveis,8
Lama,8
achados,8
exato,8
aqui,8
inquérito,8
Tudo,8
parte,8
Vídeo,8
abre,7
risco,7
Foto:,7
HelpParental,7
número,7
Após,7
Personalised,7
política,7
vídeo,7
vez,7
MP,7
janeiro,7
conteúdo,7
afetadas,7
buscam,7
quatro,7
responsabiliza,7
TragÃ©dia,7
Inhotim,7
nossa,7
BBCNewsSportWeatherRadioArts,7
to,7
GuidanceContate,7
Número,7
conhecem,7
BBCGet,7
identificada,7
Navegação,7
deixou,7
TÜV,7
JORNAL,7
medo,7
nas,7
e-mail:,7
Clique,7
sabia,7
ou,7
ainda,7
agricultura,7
NewslettersCopyright,7
SÜD,7
BBC.,7
trabalham,7
estelionatos,7
apurar,7
usoSobre,7
Enviar,7
BBCPrivacidadeCookiesAccessibility,7
sites.,7
nega,6
casal,6
Home,6
"""últimos",6
90,6
mi,6
reunião,6
destruição,6
restabelecer,6
alertou,6
fotos,6
Inquérito,6
sob,6
sejam,6
anuncia,6
Relatório,6
3,6
proposta,6
serão,6
5,6
chega,6
Explorer,6
farejadores,6
Oito,6
deu,6
Rompimento,6
20,6
pedido,6
Press),6
quer,6
Público,6
Uma,6
Parlamentar,6
sobe,6
9,6
(CPI),6
Internet,6
situação,6
bi,6
anterior.,6
profissionais,6
saiba,6
sugere,6
três,6
turismo,6
this,6
dar,6
tempo,6
final,6
comunidades,6
mil,6
Por,6
"sair""",6
04/10/2019,6
rádio,6
milhões,6
danos,6
seis,6
seus,6
suporte,6
nasceu,5
localização,5
têm,5
ação,5
Jornal,5
deixam,5
corpus,5
consequências,5
montante,5
informou,5
dor,5
Imagem:,5
Governo,5
comércio,5
165,5
Alexandre,5
lutam,5
/,5
was,5
domingo,5
aponta,5
semana,5
Trabalho,5
cai,5
funcionária,5
perda,5
encontrados,5
dentária,5
13,5
15,5
DA,5
nÃ£o,5
achar,5
Operários,5
resgatados,5
Zema,5
discutir,5
completa,5
fugiu,5
relatório,5
'invisíveis':,5
protestam,5
minutos,5
6,5
sábado,5
7,5
EL,5
cada,5
contra,5
sobreviver,5
dizem,5
ameaçados,5
acaba,5
ré,5
apresentar,5
...,5
pagará,5
habeas,5
libera,5
arcada,5
indicam,5
Funcionários,5
toneladas,5
Casa,5
saúde,5
30,5
fev,5
Geral,5
caminhão,5
apÃ³s,5
indenização,5
última,5
PAÍS,5
PF,5
identificados,5
estava,5
indiretamente,5
expostos,5
devem,5
Defesa,5
