palavra,contagem
de,24353
e,10630
a,9954
do,9115
em,8811
da,8345
o,6849
que,6415
no,4642
para,4351
com,3857
na,3637
-,3126
por,2563
é,2546
O,2096
Foto:,1996
os,1954
não,1947
Minas,1892
mais,1891
um,1801
A,1771
uma,1742
das,1688
2019,1631
as,1619
Vale,1584
Dia,1521
Edição,1468
dos,1432
Primeira,1342
Página,1335
Brumadinho,1330
ao,1289
R$,1256
se,1207
barragem,1183
BH,1126
pelo,1083
Bom,1078
Brasil,1015
BRT,1003
Oct,1003
13,998
Esporte,992
/,968
Belo,949
pela,938
São,918
anos,908
Rio,904
TV,896
Tempo,889
Sun,855
como,855
após,842
dia,816
foi,814
Horizonte,811
sobre,811
|,800
Gerais,768
1ª,766
à,766
são,765
Compartilhe,750
13/10/2019,749
2ª,748
Cruzeiro,746
Política,738
ou,735
Paulo,730
região,709
pessoas,686
rompimento,674
Mais,669
Jornal,666
diz,666
Assine,664
seu,659
Notícias,637
barragens,608
Estado,593
ser,584
tem,576
1,576
está,543
mas,515
–,507
também,498
entre,498
Super,483
Galo,480
sua,479
deixa,474
the,469
duas,469
foram,462
ainda,446
Rural,443
UOL,442
Em,442
Irmã,441
Paraná,437
sem,435
há,428
2,423
10,423
Região,422
risco,421
conta,417
Educação,416
Economia,415
Nova,412
Estadão,410
Mundo,409
já,408
MG,401
vai,400
Clube,399
Norte,398
Folha,394
Menina,389
3,386
casa,383
ver,382
até,380
nas,379
Rádio,374
EM,370
As,369
empresa,369
Dulce,361
nos,361
Itatiaia,358
ter,356
contra,354
Atlético,351
corpo,350
Amazônia,346
tragédia,346
AFP,345
Fale,344
Publicidade,344
Hoje,343
veja,343
lama,343
Divulgação,340
estão,339
Conteúdo,336
Nacional,335
Copa,333
Justiça,333
Por,332
Facebook,331
este,331
onde,330
área,329
casas,328
4,328
às,328
fazer,324
Turismo,322
notícias,320
partir,319
prédio,318
mortos,318
aos,318
seus,315
pode,315
cai,313
Sul,309
Saúde,308
caso,308
Cidades,307
of,305
minha,301
bairro,301
Globo,300
segurança,299
quatro,299
apenas,296
vídeos,296
hospital,296
semana,295
x,294
"Brumadinho,",292
Bolsonaro,288
Os,285
globonews,285
"Vale,",285
Após,284
+,281
Grande,281
TEMPO,280
Segundo,280
Um,276
Inter,276
rejeitos,274
você,274
moradores,273
três,273
Ãcone,272
Imagem:,271
neste,263
estava,263
será,261
Últimas,261
todos,259
mineradora,259
Bombeiros,258
Vídeos,256
dois,255
in,255
dados,254
Assinante,253
·,252
Especiais,251
post,250
Tragédia,250
Praça,249
DO,248
principais,244
história,243
acordo,243
América,241
dias,238
meio,237
frente,236
Capa,236
Digital,231
fim,228
informações,228
Especial,227
Para,227
Veja,227
suas,226
Twitter,226
Telejornais,226
Meio,225
direitos,224
vítimas,222
Polícia,222
Civil,222
Córrego,221
Tecnologia,221
faz,221
depois,220
primeira,220
fica,220
Já,218
cirurgia,218
to,218
nova,217
©,217
Internacional,216
Serra,216
Ciência,216
Federal,215
santa,215
Blogs,215
Incêndio,214
hoje,214
presidente,214
ela,213
Se,212
Enem,212
"anos,",211
andar,211
vida,211
site,209
Leia,209
ônibus,206
Editorias,206
Santa,204
MAIS,204
disse,203
tempo,203
News,203
11,202
2018,201
quando,200
Montes,198
era,198
Direito,198
acidente,198
água,198
Campo,197
falta,197
menos,197
ele,196
Câmara,196
(31),195
cidade,195
sido,194
aqui,194
Ministério,193
Nossa,193
controle,193
essa,192
muito,192
social,192
Link,192
Série,191
nesta,191
Parque,190
fale,190
Casa,190
Agência,189
Mariana,188
De,188
Notícia,187
norte,187
cada,187
vez,186
mil,186
trânsito,186
caiu,186
Opinião,185
bombeiros,185
outras,184
Sem,184
outros,183
sendo,182
mina,182
Saiba,182
›,181
Com,181
MPF,181
desde,180
Todos,180
teve,180
Janeiro,180
Grêmio,179
privacidade,179
Defesa,179
governo,178
grátis,178
famílias,178
programação,177
No,176
volta,176
IML,176
passa,175
12,175
maior,175
segunda,174
Entretenimento,174
HONDA,173
mineração,173
É,173
Governo,172
90,172
Na,170
brasileira,170
50,170
menu,169
Senhora,169
Entrar,169
GloboNews,169
cabeça,169
saúde,168
RETIRADO,168
segundo,168
Concursos,168
vc,168
canonização,168
empresas,167
Público,167
especial,166
Brasileirão,166
nordeste,166
Bruno,166
5,166
mundo,165
Fabrício,165
Preto,165
tudo,164
gente,164
Boa,164
Ver,163
Carro,163
início,163
Emprego,162
Central,162
BH:,161
Segurança,161
Papa,161
Claros,161
uso,161
atividades,161
bate,160
Crianças,160
Zona,159
mineiras,158
final,158
agora,157
Barragem,157
15,157
Moradores,156
cinco,156
fogo,156
×,156
Dias,156
Jovem,156
BBC,156
incêndio,155
Compartilhar,155
Anuncie,154
Colunistas,154
alerta,154
Fotos,154
G1,154
janeiro,154
capital,153
and,153
8v,153
RJ,152
Mina,152
cerca,152
Campeonato,150
SP,150
g1,150
reservados.,150
EPTV,150
‹,150
noticias,150
horas,150
globo,150
JRO,150
Corpo,149
estrutura,149
falha,149
"Minas,",148
Tabela,148
Medioli,148
desastre,148
comunidade,148
melhor,147
Google,147
afirma,146
Trânsito,146
Noite,146
Ao,146
Santana,145
120,145
&,145
seria,145
família,144
milhões,144
Followers,144
16v,144
só,143
funcionários,143
Bahia,143
recebe,143
Sete,143
Ele,143
vítima,143
Comunidade,142
poder,142
MINI,142
Copyright,142
mesma,142
WIESMANN,142
Selecione...,142
Classificados,141
Batida,141
Podcast,141
serão,141
"Feijão,",141
homem,140
parte,139
Cotidiano,139
CPI,139
novo,139
DE,139
1.6,139
"Dulce,",138
Cultura,138
mantém,137
esse,137
fala,137
Cidade,137
apresenta,137
meses,137
Seções,136
"que,",136
isso,136
veículo,136
80%,136
newsletters,136
cadastro,136
Messenger,136
sai,136
Fora,135
termos,135
cidades,135
Carros,135
Cocais,135
Chapecoense,134
processo,134
familiares,134
drogas,134
motocicletas,134
22,134
casal,134
José,134
baixa,134
"BR-365,",134
Barão,134
rua,133
edição,132
S/A,132
jurídico,132
ano,132
mesmo,132
Carlos,132
atinge,131
presos,131
página,131
Morador,131
´,131
Papo,131
JAC,131
situação,130
pelos,129
Avenida,129
Sobre,128
queimado,128
ambiental,128
bem,128
outubro,128
Municipal,127
carro,127
Brumadinho:,127
grupo,127
deve,127
todas,126
momento,126
Mineração,126
Ricardo,126
E,125
The,125
porque,125
Crise,125
rio,125
PM,124
Rodrigo,124
25,124
Caminhão,124
possível,124
precisa,124
tinha,123
Homem,123
grandes,123
FIAT,122
VOLKSWAGEN,122
Lima,122
Motor,122
Encontre,122
estar,122
Motorista,122
TOYOTA,122
B,121
"Paulo,",121
primeiro,121
grave,120
brasileiros,120
goleada,120
Flex,120
"barragem,",120
Roberto,120
dá,120
qualquer,120
MP,119
Samarco,119
bom,119
Amazon,119
eles,119
Whatsapp,118
200,118
Brasileiro,118
trabalho,118
Sair,118
informou,118
redes,118
folha,117
desta,117
além,117
Mata,117
Bem,117
gravemente,117
quilômetros,117
trabalhadores,117
fatais,117
SuperFC,117
eu,116
acesso,116
crianças,116
Futebol,116
Histórias,116
time,116
antes,115
9,115
ferido,115
crime,115
Radar,114
tecnologia,114
assinante,114
Música,114
Ir,114
Laura,113
Lado,113
principal,113
NOTÍCIAS,113
Vale.,113
Submarino,113
diretor,113
Minhas,113
perdeu,113
obras,113
300,113
VAR,113
goleado,113
mês,113
"Mariana,",112
Americanas.com,112
Alemanha,112
ir,112
